subid,jp_id,point,lat,lon,location,location_original,,,0,,A,B,RND_A,RND_B,,,,,
910,jp_cite_00177,,,,,,"""POINT(2658451.372124075 7394820.259211762)"",""POINT(2050956.4540576176 -4018718.156683889)"",""POINT(2471585.988729019 -3975313.990861327)""}",,0,,,,0.680063534,0.792212606,1680.063534,1792.212606,,,
911,,POINT(2658451.372124075 7394820.259211762),55.169438,23.881275,Lithuania,,,,0,,2658451.372,7394820.259,0.368416702,0.715461464,1368.416702,1715.461464,,,
912,,POINT(2050956.4540576176 -4018718.156683889),-33.9248685,18.4240553,"Cape Town, South Africa",,,,0,,2050956.454,-4018718.157,0.755366278,0.632661733,1755.366278,1632.661733,,,
913,,POINT(2471585.988729019 -3975313.990861327),-33.6007225,22.2026347,"Oudtshoorn, South Africa",,,,0,,2471585.989,-3975313.991,0.025507657,0.68761857,,,,,
914,jp_cite_00178,,,,,,"""POINT(2552643.6544251265 7191305.542634782)"",""POINT(-11745782.995190984 4837201.213388617)"",""POINT(-11800084.409021454 4753911.014736832)"",""POINT(-11687461.277951073 4828120.777979258)"",""POINT(-11766192.33289408 4823324.764172982)"",""POINT(-11764738.923358586 4831326.48306551)"",""POINT(-11759063.087614248 4831550.611832086)"",""POINT(-11745721.123818008 4828591.611318743)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-130724.67101431279 6864664.653290115)""}",,0,,,,0.630113055,0.19714036,,,,,
915,,POINT(2552643.6544251265 7191305.542634782),54.1115218,22.9307881,"Suwalki, Poland",,,,0,,2552643.654,7191305.543,0.332831507,0.088343171,,,,,
916,,POINT(-11745782.995190984 4837201.213388617),39.8019322,-105.5141639,"Central City, Colorado",,,,0,,-11745783,4837201.213,0.37073981,0.071088372,,,,,
917,,POINT(-11800084.409021454 4753911.014736832),39.2247125,-106.0019618,"South Park, Colorado",,,,0,,-11800084.41,4753911.015,0.454347994,0.103957592,,,,,
918,,POINT(-11687461.277951073 4828120.777979258),39.7392358,-104.990251,"Denver, Colorado",,,,0,,-11687461.28,4828120.778,0.826731349,0.533702053,,,,,
919,,POINT(-11766192.33289408 4823324.764172982),39.7060984,-105.6975041,"Georgetown, Colorado",,,,0,,-11766192.33,4823324.764,0.24831531,0.062413663,,,,,
920,,POINT(-11764738.923358586 4831326.48306551),39.7613763,-105.6844479,"Empire, Colorado",,,,0,,-11764738.92,4831326.483,0.858422022,0.749911185,,,,,
921,,POINT(-11759063.087614248 4831550.611832086),39.762924,-105.633461,"Lawson, Colorado",,,,0,,-11759063.09,4831550.612,0.92116543,0.486083263,,,,,
922,,POINT(-11745721.123818008 4828591.611318743),39.7424881,-105.5136081,"Idaho Springs, Colorado",,,,0,,-11745721.12,4828591.611,0.368881301,0.984390149,,,,,
923,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,,,0,,-8238303.7,4970069.185,0.867363166,0.093520693,,,,,
924,,POINT(-130724.67101431279 6864664.653290115),52.3555177,-1.1743197,"England, United Kingdom",,,,0,,-130724.671,6864664.653,0.925105151,0.960751942,,,,,
925,jp_cite_00179,,,,,,"""POINT(11724030.287269026 8747149.047572464)"",""POINT(2658451.372124075 7394820.259211762)"",""POINT(2738814.470989424 7735556.798811074)"",""POINT(1606660.2286676248 6461022.145308473)"",""POINT(2131226.7903913013 6785571.89784786)"",""POINT(246433.41138981478 5816903.7126172995)"",""POINT(3019955.2958529154 4638765.41802242)"",""POINT(2554161.0504039186 4959395.112916691)"",""POINT(2348143.404655374 5132582.703074149)""}",,0,,,,0.617651416,0.584449591,,,,,
926,,POINT(11724030.287269026 8747149.047572464),61.52401,105.318756,Russia,,,,0,,11724030.29,8747149.048,0.322227948,0.112783127,,,,,
927,,POINT(2658451.372124075 7394820.259211762),55.169438,23.881275,Lithuania,,,,0,,2658451.372,7394820.259,0.04318603,0.207287847,,,,,
928,,POINT(2738814.470989424 7735556.798811074),56.879635,24.603189,Latvia,,,,0,,2738814.471,7735556.799,0.74886549,0.608827635,,,,,
929,,POINT(1606660.2286676248 6461022.145308473),50.0850736,14.4328744,Bohemia,,,,0,,1606660.229,6461022.145,0.886939199,0.953559136,,,,,
930,,POINT(2131226.7903913013 6785571.89784786),51.919438,19.145136,Poland,,,,0,,2131226.79,6785571.898,0.239453752,0.615505736,,,,,
931,,POINT(246433.41138981478 5816903.7126172995),46.227638,2.213749,France,,,,0,,246433.4114,5816903.713,0.77471381,0.665529392,,,,,
932,,POINT(3019955.2958529154 4638765.41802242),38.41885,27.12872,"Izmir, Turkey",,,,0,,3019955.296,4638765.418,0.163984247,0.781186844,,,,,
933,,POINT(2554161.0504039186 4959395.112916691),40.6400629,22.9444191,"Salonika, Greece",,,,0,,2554161.05,4959395.113,0.566369672,0.651783836,,,,,
934,,POINT(2348143.404655374 5132582.703074149),41.8101472,21.0937311,Balkans,,,,0,,2348143.405,5132582.703,0.848734335,0.764566821,,,,,
935,jp_cite_00180,,,,,,"""POINT(2131226.7903913013 6785571.89784786)"",""POINT(-8350648.521257598 -1027437.3556249347)""}",,0,,,,0.533158278,0.723001302,,,,,
936,,POINT(2131226.7903913013 6785571.89784786),51.919438,19.145136,Poland,,,,0,,2131226.79,6785571.898,0.467923489,0.082934019,,,,,
937,,POINT(-8350648.521257598 -1027437.3556249347),-9.189967,-75.015152,Peru,,,,0,,-8350648.521,-1027437.356,0.88289687,0.554210722,,,,,
938,jp_cite_00181,,,,,,"""POINT(1347146.576736338 6277140.4395323545)"",""POINT(-8367354.181578875 4859054.290881913)"",""POINT(-8494291.00654439 4871447.770723099)"",""POINT(-8516431.94119043 4870841.915946548)"",""POINT(-10520399.536502874 5067645.7573955925)"",""POINT(847495.6102302383 6793541.210972065)"",""POINT(1228364.115977327 6387787.9941345295)"",""POINT(-8905101.338364959 4930180.7964929445)"",""POINT(966489.9231121482 6465507.800238679)"",""POINT(-8528429.900246715 4763352.471949581)""}",,0,,,,0.237446752,0.042173359,,,,,
939,,POINT(1347146.576736338 6277140.4395323545),49.0134297,12.1016236,"Regensburg, Germany",,,,0,,1347146.577,6277140.44,0.522104672,0.41968266,,,,,
940,,POINT(-8367354.181578875 4859054.290881913),39.9525839,-75.1652215,"Philadelphia, Pennsylvania",,,,0,,-8367354.182,4859054.291,0.323352879,0.054220471,,,,,
941,,POINT(-8494291.00654439 4871447.770723099),40.0378755,-76.3055144,"Lancaster, Pennsylvania",,,,0,,-8494291.007,4871447.771,0.213312889,0.527099673,,,,,
942,,POINT(-8516431.94119043 4870841.915946548),40.0337085,-76.5044098,"Columbia, Pennsylvania",,,,0,,-8516431.941,4870841.916,0.874229926,0.100286501,,,,,
943,,POINT(-10520399.536502874 5067645.7573955925),41.3738765,-94.506357,Prussia,,,,0,,-10520399.54,5067645.757,0.063641539,0.936853663,,,,,
944,,POINT(847495.6102302383 6793541.210972065),51.9635705,7.6131826,"Westphalia, Germany",,,,0,,847495.6102,6793541.211,0.172989365,0.968000841,,,,,
945,,POINT(1228364.115977327 6387787.9941345295),49.661089,11.0345826,"Baiersdork, Germany",,,,0,,1228364.116,6387787.994,0.381404671,0.53869722,,,,,
946,,POINT(-8905101.338364959 4930180.7964929445),40.4406248,-79.9958864,"Pittsburgh, Pennsylvania",,,,0,,-8905101.338,4930180.796,0.451984681,0.340519623,,,,,
947,,POINT(966489.9231121482 6465507.800238679),50.1109221,8.6821267,"Frankfurt am Main, Germany",,,,0,,966489.9231,6465507.8,0.482554054,0.987912357,,,,,
948,,POINT(-8528429.900246715 4763352.471949581),39.2903848,-76.6121893,"Baltimore, Maryland",,,,0,,-8528429.9,4763352.472,0.010768112,0.44378289,,,,,
949,jp_cite_00182,,,,,,"""POINT(-8367354.181578875 4859054.290881913)"",""POINT(-8494291.00654439 4871447.770723099)"",""POINT(-8528429.900246715 4763352.471949581)"",""POINT(966489.9231121482 6465507.800238679)""}",,0,,,,0.154297435,0.822517643,,,,,
950,,POINT(-8367354.181578875 4859054.290881913),39.9525839,-75.1652215,"Philadelphia, Pennsylvania",,,,0,,-8367354.182,4859054.291,0.589638025,0.637178295,,,,,
951,,POINT(-8494291.00654439 4871447.770723099),40.0378755,-76.3055144,"Lancaster, Pennsylvania",,,,0,,-8494291.007,4871447.771,0.345046983,0.440092364,,,,,
952,,POINT(-8528429.900246715 4763352.471949581),39.2903848,-76.6121893,"Baltimore, Maryland",,,,0,,-8528429.9,4763352.472,0.851887867,0.763139099,,,,,
953,,POINT(966489.9231121482 6465507.800238679),50.1109221,8.6821267,"Frankfurt am Main, Germany",,,,0,,966489.9231,6465507.8,0.572343019,0.345014531,,,,,
