subid,jp_id,point,lat,lon,location,location_original,
933,,POINT(2554161.0504039186 4959395.112916691),40.6400629,22.9444191,"Salonika, Greece",,
934,,POINT(2348143.404655374 5132582.703074149),41.8101472,21.0937311,Balkans,,
935,jp_cite_00180,,,,,,"""POINT(2131226.7903913013 6785571.89784786)"",""POINT(-8350648.521257598 -1027437.3556249347)""}"
936,,POINT(2131226.7903913013 6785571.89784786),51.919438,19.145136,Poland,,
937,,POINT(-8350648.521257598 -1027437.3556249347),-9.189967,-75.015152,Peru,,
938,jp_cite_00181,,,,,,"""POINT(1347146.576736338 6277140.4395323545)"",""POINT(-8367354.181578875 4859054.290881913)"",""POINT(-8494291.00654439 4871447.770723099)"",""POINT(-8516431.94119043 4870841.915946548)"",""POINT(-10520399.536502874 5067645.7573955925)"",""POINT(847495.6102302383 6793541.210972065)"",""POINT(1228364.115977327 6387787.9941345295)"",""POINT(-8905101.338364959 4930180.7964929445)"",""POINT(966489.9231121482 6465507.800238679)"",""POINT(-8528429.900246715 4763352.471949581)""}"
939,,POINT(1347146.576736338 6277140.4395323545),49.0134297,12.1016236,"Regensburg, Germany",,
940,,POINT(-8367354.181578875 4859054.290881913),39.9525839,-75.1652215,"Philadelphia, Pennsylvania",,
941,,POINT(-8494291.00654439 4871447.770723099),40.0378755,-76.3055144,"Lancaster, Pennsylvania",,
942,,POINT(-8516431.94119043 4870841.915946548),40.0337085,-76.5044098,"Columbia, Pennsylvania",,
943,,POINT(-10520399.536502874 5067645.7573955925),41.3738765,-94.506357,Prussia,,
944,,POINT(847495.6102302383 6793541.210972065),51.9635705,7.6131826,"Westphalia, Germany",,
945,,POINT(1228364.115977327 6387787.9941345295),49.661089,11.0345826,"Baiersdork, Germany",,
946,,POINT(-8905101.338364959 4930180.7964929445),40.4406248,-79.9958864,"Pittsburgh, Pennsylvania",,
947,,POINT(966489.9231121482 6465507.800238679),50.1109221,8.6821267,"Frankfurt am Main, Germany",,
948,,POINT(-8528429.900246715 4763352.471949581),39.2903848,-76.6121893,"Baltimore, Maryland",,
949,jp_cite_00182,,,,,,"""POINT(-8367354.181578875 4859054.290881913)"",""POINT(-8494291.00654439 4871447.770723099)"",""POINT(-8528429.900246715 4763352.471949581)"",""POINT(966489.9231121482 6465507.800238679)""}"
950,,POINT(-8367354.181578875 4859054.290881913),39.9525839,-75.1652215,"Philadelphia, Pennsylvania",,
951,,POINT(-8494291.00654439 4871447.770723099),40.0378755,-76.3055144,"Lancaster, Pennsylvania",,
952,,POINT(-8528429.900246715 4763352.471949581),39.2903848,-76.6121893,"Baltimore, Maryland",,
953,,POINT(966489.9231121482 6465507.800238679),50.1109221,8.6821267,"Frankfurt am Main, Germany",,
954,jp_cite_00183,,,,,,"""POINT(1055280.5085546249 6676796.274825975)"",""POINT(-10520399.536502874 5067645.7573955925)"",""POINT(643621.9333462779 7013421.771244165)"",""POINT(1965949.8852734556 6513439.491932893)"",""POINT(1896721.32923002 6640399.597484792)"",""POINT(1331390.1822407206 6873884.898617838)""}"
955,,POINT(1055280.5085546249 6676796.274825975),51.3127114,9.4797461,"Hesse-Kassel, Germany",,
956,,POINT(-10520399.536502874 5067645.7573955925),41.3738765,-94.506357,East Prussia,,
957,,POINT(643621.9333462779 7013421.771244165),53.1641642,5.7817542,Friesland,,
